chr,#snps,min,max
1,63487,723307,249222527
2,61966,11944,243041411
3,52300,72365,197848556
4,47443,59350,190914289
5,46314,29523,180698413
6,53695,203397,170907734
7,42722,41892,159124173
8,38591,164984,146296404
9,34310,16967,141101939
10,38308,93189,135440226
11,40824,189620,134945120
12,37302,149478,133831319
13,26806,19020095,115103150
14,25509,19071913,107287663
15,24467,20044342,102397317
16,28960,85629,90170095
17,28835,6157,81103682
18,21962,11358,78015180
19,26186,110783,59097933
20,19959,63231,62960292
21,11342,10873592,48099610
22,12968,16057417,51238249
23,18857,2699676,154923374
24,691,2658271,28767492
25,1357,60425,155233115
26,265,73,16391
